,neighborhood,current_cases,cases_per_100k,ds,ds_3_days_ago,new_cases_last_3_days,lat,long,region
0,Acton,16.0,200.73,2020-06-11,2020-06-08,3.0,34.47,-118.1967,Antelope Valley
1,Adams-Normandie,65.0,792.49,2020-06-11,2020-06-08,6.0,34.0343,-118.2993,South L.A.
2,Agoura Hills,36.0,172.39,2020-06-11,2020-06-08,1.0,34.1364,-118.7745,Santa Monica Mountains
3,Agua Dulce,9.0,216.45,2020-06-11,2020-06-08,-1.0,,,
4,Alhambra,266.0,306.72,2020-06-11,2020-06-08,17.0,34.0953,-118.12700000000001,San Gabriel Valley
5,Alsace,67.0,538.37,2020-06-11,2020-06-08,6.0,33.9786,-118.4156,Westside
6,Altadena,178.0,408.07,2020-06-11,2020-06-08,8.0,34.1902,-118.1313,Verdugos
7,Anaverde,2.0,132.63,2020-06-11,2020-06-08,0.0,,,
8,Angeles National Forest,2.0,160.64,2020-06-11,2020-06-08,0.0,,,
9,Angelino Heights,21.0,839.33,2020-06-11,2020-06-08,0.0,34.0703,-118.2548,Central L.A.
10,Arcadia,115.0,180.07,2020-06-11,2020-06-08,4.0,34.1397,-118.0353,San Gabriel Valley
11,Arleta,324.0,942.68,2020-06-11,2020-06-08,16.0,34.2419,-118.4256,San Fernando Valley
12,Artesia,50.0,297.71,2020-06-11,2020-06-08,5.0,33.8658,-118.0831,Southeast
13,Athens Village,45.0,918.93,2020-06-11,2020-06-08,5.0,33.92,-118.2812,South L.A.
14,Athens-Westmont,300.0,706.85,2020-06-11,2020-06-08,24.0,33.9238,-118.3019,South L.A.
15,Atwater Village,54.0,368.2,2020-06-11,2020-06-08,2.0,34.1173,-118.2614,Northeast L.A.
16,Avalon,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
17,Avocado Heights,40.0,590.41,2020-06-11,2020-06-08,3.0,34.0361,-117.9912,San Gabriel Valley
18,Azusa,336.0,558.94,2020-06-11,2020-06-08,27.0,34.1336,-117.9076,San Gabriel Valley
19,Baldwin Hills,197.0,632.93,2020-06-11,2020-06-08,8.0,34.0047,-118.3415,South L.A.
20,Baldwin Park,445.0,579.66,2020-06-11,2020-06-08,33.0,34.0853,-117.9609,San Gabriel Valley
21,Bassett,139.0,938.11,2020-06-11,2020-06-08,8.0,34.0758,-118.3678,Central L.A.
22,Bel Air,39.0,462.69,2020-06-11,2020-06-08,1.0,34.0833,-118.4487,Westside
23,Bell,457.0,1257.84,2020-06-11,2020-06-08,43.0,33.9761,-118.1851,Southeast
24,Bell Gardens,416.0,965.85,2020-06-11,2020-06-08,42.0,33.9653,-118.1515,Southeast
25,Bellflower,517.0,665.08,2020-06-11,2020-06-08,39.0,33.88221,-118.118,Southeast
26,Beverly Crest,41.0,327.35,2020-06-11,2020-06-08,4.0,34.1024,-118.4163,Westside
27,Beverly Hills,155.0,449.02,2020-06-11,2020-06-08,6.0,34.0736,-118.4004,Westside
28,Beverlywood,42.0,318.83,2020-06-11,2020-06-08,3.0,34.0409,-118.3919,Westside
29,Bouquet Canyon,1.0,93.2,2020-06-11,2020-06-08,0.0,,,
30,Boyle Heights,1055.0,1214.26,2020-06-11,2020-06-08,89.0,34.0339,-118.2054,Eastside
31,Bradbury,4.0,374.18,2020-06-11,2020-06-08,0.0,,,
32,Brentwood,88.0,284.28,2020-06-11,2020-06-08,2.0,34.0519,-118.4731,Westside
33,Brookside,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
34,Burbank,431.0,402.13,2020-06-11,2020-06-08,12.0,34.1808,-118.309,San Fernando Valley
35,Cadillac-Corning,35.0,491.5,2020-06-11,2020-06-08,1.0,34.040282,-118.38025,Central L.A.
36,Calabasas,96.0,394.69,2020-06-11,2020-06-08,4.0,34.1383,-118.6608,Santa Monica Mountains
37,Canoga Park,592.0,906.74,2020-06-11,2020-06-08,26.0,34.2011,-118.5981,San Fernando Valley
38,Canyon Country,39.0,504.66,2020-06-11,2020-06-08,3.0,34.4245,-118.4711,Northwest County
39,Carson,511.0,544.51,2020-06-11,2020-06-08,31.0,33.8374,-118.2559,Harbor
40,Carthay,93.0,647.5,2020-06-11,2020-06-08,2.0,34.0573,-118.3679,Central L.A.
41,Castaic,1644.0,6046.12,2020-06-11,2020-06-08,405.0,34.4889,-118.6229,Northwest County
42,Central,600.0,1538.78,2020-06-11,2020-06-08,52.0,34.0833,-118.4487,Westside
43,Century City,40.0,312.7,2020-06-11,2020-06-08,2.0,34.0556,-118.4179,Westside
44,Century Palms/Cove,391.0,1157.97,2020-06-11,2020-06-08,22.0,33.9461,-118.2732,South L.A.
45,Cerritos,149.0,297.6,2020-06-11,2020-06-08,11.0,33.8584,-118.0648,Southeast
46,Charter Oak,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
47,Chatsworth,221.0,596.31,2020-06-11,2020-06-08,6.0,34.2506,-118.6148,San Fernando Valley
48,Cheviot Hills,22.0,239.89,2020-06-11,2020-06-08,0.0,34.0458,-118.4079,Westside
49,Chinatown,29.0,361.55,2020-06-11,2020-06-08,3.0,34.0623,-118.2383,Central L.A.
50,Claremont,67.0,183.64,2020-06-11,2020-06-08,8.0,34.1261,-117.7158,Pomona Valley
51,Cloverdale/Cochran,91.0,625.3,2020-06-11,2020-06-08,5.0,34.0626,-118.3465,Central L.A.
52,Commerce,112.0,856.99,2020-06-11,2020-06-08,21.0,34.0006,-118.1598,Southeast
53,Compton,863.0,863.83,2020-06-11,2020-06-08,67.0,33.8958,-118.2201,Southeast
54,Country Club Park,113.0,745.73,2020-06-11,2020-06-08,2.0,34.0503,-118.3212,Central L.A.
55,Covina,298.0,471.12,2020-06-11,2020-06-08,16.0,34.09,-117.8903,San Gabriel Valley
56,Covina (Charter Oak),58.0,441.27,2020-06-11,2020-06-08,3.0,34.0994,-117.8464,San Gabriel Valley
57,Crenshaw District,88.0,636.34,2020-06-11,2020-06-08,3.0,34.0158,-118.3453,South L.A.
58,Crestview,97.0,853.27,2020-06-11,2020-06-08,3.0,34.0458,-118.3816,Westside
59,Cudahy,318.0,1306.12,2020-06-11,2020-06-08,19.0,33.9609,-118.1858,Southeast
60,Culver City,166.0,416.41,2020-06-11,2020-06-08,2.0,34.0211,-118.3965,Westside
61,Del Aire,18.0,409.74,2020-06-11,2020-06-08,2.0,33.9161,-118.3695,South Bay
62,Del Rey,90.0,314.47,2020-06-11,2020-06-08,1.0,33.9878,-118.4229,Westside
63,Del Sur,2.0,82.82,2020-06-11,2020-06-08,0.0,,,
64,Desert View Highlands,6.0,240.67,2020-06-11,2020-06-08,0.0,,,
65,Diamond Bar,84.0,146.05,2020-06-11,2020-06-08,4.0,34.0286,-117.8103,San Gabriel Valley
66,Downey,949.0,830.54,2020-06-11,2020-06-08,72.0,33.9451,-118.1281,Southeast
67,Downtown,188.0,683.46,2020-06-11,2020-06-08,16.0,34.0422,-118.2488,Central L.A.
68,Duarte,158.0,635.9,2020-06-11,2020-06-08,2.0,34.1607,-117.9504,San Gabriel Valley
69,Eagle Rock,213.0,538.03,2020-06-11,2020-06-08,10.0,34.1322,-118.2117,Northeast L.A.
70,East Covina,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
71,East Hollywood,253.0,863.86,2020-06-11,2020-06-08,9.0,34.0948,-118.291,Central L.A.
72,East La Mirada,23.0,434.62,2020-06-11,2020-06-08,1.0,,,
73,East Lancaster,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
74,East Los Angeles,1489.0,1188.64,2020-06-11,2020-06-08,151.0,34.0316,-118.1724,Eastside
75,East Pasadena,4.0,62.47,2020-06-11,2020-06-08,0.0,,,
76,East Rancho Dominguez,94.0,614.06,2020-06-11,2020-06-08,13.0,33.898070000000004,-118.19535,Southeast
77,East Whittier,15.0,282.7,2020-06-11,2020-06-08,0.0,,,
78,Echo Park,63.0,441.92,2020-06-11,2020-06-08,9.0,34.0782,-118.2606,Central L.A.
79,El Camino Village,59.0,671.14,2020-06-11,2020-06-08,6.0,33.8895,-118.3309,South Bay
80,El Monte,812.0,692.43,2020-06-11,2020-06-08,78.0,34.0733,-118.0275,San Gabriel Valley
81,El Segundo,38.0,226.38,2020-06-11,2020-06-08,1.0,33.9192,-118.4165,South Bay
82,El Sereno,240.0,574.05,2020-06-11,2020-06-08,18.0,34.0875,-118.1715,Eastside
83,Elizabeth Lake,3.0,180.61,2020-06-11,2020-06-08,0.0,,,
84,Elysian Park,16.0,280.11,2020-06-11,2020-06-08,0.0,34.0838,-118.2366,Central L.A.
85,Elysian Valley,72.0,707.89,2020-06-11,2020-06-08,6.0,34.0967,-118.2427,Central L.A.
86,Encino,151.0,334.28,2020-06-11,2020-06-08,5.0,34.1517,-118.5214,San Fernando Valley
87,Exposition,15.0,450.99,2020-06-11,2020-06-08,1.0,,,
88,Exposition Park,331.0,736.91,2020-06-11,2020-06-08,21.0,34.0147,-118.2872,South L.A.
89,Faircrest Heights,8.0,222.22,2020-06-11,2020-06-08,2.0,,,
90,Figueroa Park Square,54.0,619.2,2020-06-11,2020-06-08,8.0,33.9602,-118.28399999999999,South L.A.
91,Florence-Firestone,1379.0,1244.11,2020-06-11,2020-06-08,106.0,33.9632,-118.2426,South L.A.
92,Franklin Canyon,0.0,0.0,2020-06-11,2020-06-08,0.0,,,
93,Gardena,337.0,549.67,2020-06-11,2020-06-08,21.0,33.8938,-118.30799999999999,South Bay
94,Glassell Park,209.0,661.31,2020-06-11,2020-06-08,10.0,34.1161,-118.229,Northeast L.A.
95,Glendale,1093.0,529.32,2020-06-11,2020-06-08,28.0,34.1425,-118.2551,Verdugos
96,Glendora,182.0,454.55,2020-06-11,2020-06-08,9.0,34.1361,-117.8653,San Gabriel Valley
97,Gramercy Place,84.0,780.38,2020-06-11,2020-06-08,3.0,34.0468,-118.3127,Central L.A.
98,Granada Hills,406.0,697.7,2020-06-11,2020-06-08,11.0,34.2794,-118.5022,San Fernando Valley
99,Green Meadows,230.0,1069.52,2020-06-11,2020-06-08,16.0,33.9556,-118.2694,South L.A.
100,Hacienda Heights,193.0,345.1,2020-06-11,2020-06-08,13.0,33.9931,-117.9687,San Gabriel Valley
101,Hancock Park,94.0,551.68,2020-06-11,2020-06-08,9.0,34.0745,-118.3304,Central L.A.
102,Harbor City,138.0,474.72,2020-06-11,2020-06-08,10.0,33.79,-118.2978,Harbor
103,Harbor Gateway,183.0,419.72,2020-06-11,2020-06-08,6.0,33.8501,-118.2991,Harbor
104,Harbor Pines,9.0,373.6,2020-06-11,2020-06-08,0.0,,,
105,Harvard Heights,172.0,953.7,2020-06-11,2020-06-08,10.0,34.044000000000004,-118.3042,Central L.A.
106,Harvard Park,418.0,1101.88,2020-06-11,2020-06-08,28.0,33.9841,-118.3042,South L.A.
107,Hawaiian Gardens,103.0,701.83,2020-06-11,2020-06-08,7.0,33.8314,-118.0728,Harbor
108,Hawthorne,511.0,566.52,2020-06-11,2020-06-08,47.0,33.9194,-118.354,South Bay
109,Hermosa Beach,38.0,193.19,2020-06-11,2020-06-08,3.0,33.8621,-118.4,South Bay
110,Hi Vista,1.0,91.07,2020-06-11,2020-06-08,0.0,,,
111,Hidden Hills,3.0,158.73,2020-06-11,2020-06-08,0.0,,,
112,Highland Park,298.0,615.82,2020-06-11,2020-06-08,39.0,34.1145,-118.1842,Northeast L.A.
113,Historic Filipinotown,170.0,1225.67,2020-06-11,2020-06-08,10.0,34.0703,-118.26799999999999,Central L.A.
114,Hollywood,315.0,461.51,2020-06-11,2020-06-08,11.0,34.1016,-118.3337,Central L.A.
115,Hollywood Hills,90.0,305.77,2020-06-11,2020-06-08,3.0,34.1341,-118.3215,Central L.A.
116,Huntington Park,704.0,1183.51,2020-06-11,2020-06-08,71.0,33.9849,-118.2278,Southeast
117,Hyde Park,185.0,648.19,2020-06-11,2020-06-08,5.0,33.9819,-118.3309,South L.A.
118,Industry,12.0,2746.0,2020-06-11,2020-06-08,0.0,,,
119,Inglewood,727.0,640.07,2020-06-11,2020-06-08,24.0,33.961,-118.3554,South Bay
120,Irwindale,5.0,342.7,2020-06-11,2020-06-08,0.0,,,
121,Jefferson Park,59.0,730.83,2020-06-11,2020-06-08,5.0,34.0272,-118.3176,South L.A.
122,Kagel/Lopez Canyons,8.0,566.57,2020-06-11,2020-06-08,0.0,,,
123,Koreatown,361.0,698.35,2020-06-11,2020-06-08,17.0,34.0578,-118.3009,Central L.A.
124,La Canada Flintridge,56.0,270.62,2020-06-11,2020-06-08,1.0,34.2091,-118.2001,Verdugos
125,La Crescenta-Montrose,35.0,176.76,2020-06-11,2020-06-08,1.0,34.2288,-118.2351,Verdugos
126,La Habra Heights,12.0,219.98,2020-06-11,2020-06-08,1.0,,,
127,La Mirada,220.0,443.56,2020-06-11,2020-06-08,7.0,33.919000000000004,-118.0105,Southeast
128,La Puente,193.0,474.24,2020-06-11,2020-06-08,31.0,34.02,-117.9495,San Gabriel Valley
129,La Rambla,32.0,1542.17,2020-06-11,2020-06-08,2.0,33.744119,-118.301353,Harbor
130,La Verne,42.0,245.1,2020-06-11,2020-06-08,2.0,34.1202,-117.7704,Pomona Valley
131,Ladera Heights,21.0,296.99,2020-06-11,2020-06-08,1.0,33.9878,-118.3704,Westside
132,Lafayette Square,24.0,526.43,2020-06-11,2020-06-08,2.0,34.0431,-118.3319,Central L.A.
133,Lake Balboa,240.0,568.64,2020-06-11,2020-06-08,11.0,34.1839,-118.4954,San Fernando Valley
134,Lake Hughes,1.0,149.7,2020-06-11,2020-06-08,0.0,,,
135,Lake Los Angeles,32.0,246.27,2020-06-11,2020-06-08,0.0,34.6125,-117.8281,Antelope Valley
136,Lake Manor,4.0,243.46,2020-06-11,2020-06-08,0.0,,,
